Kode KBLI 2025,Judul KBLI 2025,Uraian KBLI 2025,Padanan KBLI 2020,Jenis Perubahan,Skala Usaha → Tingkat Risiko,Perizinan Berusaha,Jangka Waktu Penerbitan
01111,Pertanian Jagung,"Kelompok ini mencakup kegiatan pertanian jagung, termasuk di dalamnya kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan. Kelompok ini juga mencakup kegiatan penanaman jagung untuk menghasilkan benih berupa biji. Kelompok ini tidak mencakup pertanian jagung manis, lihat kelompok 01133.",01111 - Pertanian Jagung,Tetap,"Usaha Mikro → Rendah
Usaha Mikro → Menengah Rendah
Usaha Kecil → Rendah
Usaha Kecil → Menengah Rendah
Usaha Menengah → Menengah Rendah
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Tinggi","-
NIB
Sertifikat Standar","-
3 Hari"
01112,Pertanian Serealia Selain Padi dan Jagung,"Kelompok ini mencakup kegiatan pertanian serealia selain padi dan jagung, seperti gandum (wheat/oats), sorgum/cantel, barli (barley), gandum hitam (rye), dan jawawut. Pertanian serealia selain padi dan jagung yang dimaksud mencakup kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan. Kelompok ini juga mencakup kegiatan penanaman tanaman serealia selain padi dan jagung untuk menghasilkan benih berupa biji.",01112 - Pertanian Gandum,-,"Usaha Mikro → Rendah
Usaha Mikro → Menengah Rendah
Usaha Kecil → Rendah
Usaha Kecil → Menengah Rendah
Usaha Menengah → Menengah Rendah
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Tinggi","NIB
Sertifikat Standar","-
3 Hari
7 Hari"
01113,Pertanian Kedelai,"Kelompok ini mencakup kegiatan pertanian kedelai, termasuk di dalamnya kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan. Kelompok ini tidak mencakup pertanian kedelai sayur/edamame, lihat kelompok 01116.",01113 - Pertanian Kedelai,Tetap,"Usaha Mikro → Rendah
Usaha Mikro → Menengah Rendah
Usaha Kecil → Rendah
Usaha Kecil → Menengah Rendah
Usaha Menengah → Menengah Rendah
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Tinggi","-
NIB
Sertifikat Standar","-
3 Hari"
01114,Pertanian Kacang Tanah,"Kelompok ini mencakup kegiatan pertanian kacang tanah, termasuk di dalamnya kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan.",01114 - Pertanian Kacang Tanah,Tetap,"Usaha Mikro → Rendah
Usaha Mikro → Menengah Rendah
Usaha Kecil → Rendah
Usaha Kecil → Menengah Rendah
Usaha Menengah → Menengah Rendah
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Tinggi","NIB
Sertifikat Standar","-
3 Hari"
01115,Pertanian Kacang Hijau,"Kelompok ini mencakup kegiatan pertanian kacang hijau, termasuk di dalamnya kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan.",01115 - Pertanian Kacang Hijau,Tetap,"Usaha Mikro → Rendah
Usaha Mikro → Menengah Rendah
Usaha Kecil → Rendah
Usaha Kecil → Menengah Rendah
Usaha Menengah → Menengah Rendah
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Tinggi","NIB
Sertifikat Standar","-
3 Hari"
01116,"Pertanian Aneka Kacang Selain Kedelai, Kacang Tanah, dan Kacang Hijau","Kelompok ini mencakup kegiatan pertanian aneka kacang lainnya, seperti buncis, buncis besar, kacang panjang, kapri, kecipir, mijumiju, lupin, kacang polong, kacang merah, koro, gude, dan kacang tunggak. Pertanian aneka kacang yang dimaksud mencakup kegiatan pengolahan lahan, penyemaian, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan.",01116 - Pertanian Aneka Kacang Hortikultura,-,"Usaha Mikro → Rendah
Usaha Mikro → Menengah Rendah
Usaha Kecil → Rendah
Usaha Kecil → Menengah Rendah
Usaha Menengah → Menengah Rendah
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Tinggi","NIB
Sertifikat Standar","-
7 Hari"
01117,Pertanian Biji-bijian Penghasil Minyak Makan,"Kelompok ini mencakup kegiatan pertanian biji-bijian penghasil minyak makan, seperti biji wijen, biji kanola, biji safflower, dan biji bunga matahari. Pertanian biji-bijian penghasil minyak makan yang dimaksud mencakup kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan.",01117 - Pertanian Biji-bijian Penghasil Minyak Makan,Tetap,"Usaha Mikro → Rendah
Usaha Mikro → Menengah Tinggi
Usaha Kecil → Rendah
Usaha Kecil → Menengah Tinggi
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Tinggi","NIB
Sertifikat Standar","-
3 Hari"
01118,Pertanian Biji-bijian Penghasil Minyak Selain Minyak Makan,"Kelompok ini mencakup kegiatan pertanian biji-bijian penghasil minyak selain minyak makan, seperti biji kapas, biji rami, biji moster, niger seed, dan biji jarak pohon. Pertanian biji-bijian penghasil minyak selain minyak makan yang dimaksud mencakup kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan.","01118 - Pertanian Biji-bijian Penghasil Bukan Minyak Makan
01119 - Pertanian Serealia Lainnya, Aneka Kacang dan Biji-Bijian Penghasil Minyak Lainnya",-,"Usaha Mikro → Rendah
Usaha Mikro → Menengah Rendah
Usaha Mikro → Menengah Tinggi
Usaha Kecil → Rendah
Usaha Kecil → Menengah Rendah
Usaha Kecil → Menengah Tinggi
Usaha Menengah → Menengah Rendah
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Tinggi","NIB
Sertifikat Standar","-
3 Hari
7 Hari"
01121,Pertanian Padi Hibrida,"Kelompok ini mencakup kegiatan pertanian padi hibrida, termasuk di dalamnya kegiatan pengolahan lahan, penyemaian, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan sampai dengan dihasilkan gabah. Kelompok ini juga mencakup kegiatan penanaman padi hibrida untuk menghasilkan benih berupa biji. Padi hibrida adalah keturunan pertama (F1) yang dihasilkan dari persilangan antara dua galur atau lebih tetua pembentuknya dan/atau galur/inbrida homozigot, contohnya: Bernas Super, Bernas Prima, Sembada B3, Sembada 626, Sembada 989, SL 11 SHS, Bridantara 3, dan PP5. Turunan dari padi hibrida tidak termasuk sebagai padi hibrida.",01121 - Pertanian Padi Hibrida,Tetap,"Usaha Mikro → Rendah
Usaha Mikro → Menengah Rendah
Usaha Kecil → Rendah
Usaha Kecil → Menengah Rendah
Usaha Menengah → Menengah Rendah
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Tinggi","NIB
Sertifikat Standar","-
3 Hari"
01122,Pertanian Padi Inbrida,"Kelompok ini mencakup kegiatan pertanian padi inbrida (selain padi hibrida) termasuk di dalamnya kegiatan pengolahan lahan, penyemaian, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu kesatuan kegiatan sampai dengan dihasilkan gabah. Kelompok ini juga mencakup kegiatan penanaman padi inbrida untuk menghasilkan benih berupa biji. Padi inbrida adalah varietas yang dikembangkan dari satu tanaman melalui penyerbukan sendiri sehingga memiliki tingkat kemurnian atau homozigositas yang tinggi, contohnya: Memberamo, Mekongga, Ciherang, IR-6, Inpari, Inpara, Inpago, Pak Tiwi, IPB 15S, serta padi varietas lokal yang telah ada dan dibudidayakan secara turun temurun oleh petani, seperti Rojo Lele, Pandan Wangi, dan Pusaka Bhagasasi.",01122 - Pertanian Padi Inbrida,Tetap,"Usaha Mikro → Rendah
Usaha Mikro → Menengah Rendah
Usaha Kecil → Rendah
Usaha Kecil → Menengah Rendah
Usaha Menengah → Menengah Rendah
Usaha Menengah → Menengah Tinggi
Usaha Besar → Menengah Tinggi","NIB
Sertifikat Standar","-
3 Hari"
